"","w_value","p_value"
"117",0.311495601950415,5.08034634205281e-07
"118",0.311283136692698,5.0647741302696e-07
"119",0.311700094030398,5.09538225150826e-07
"120",0.312309497480853,5.14047173930354e-07
"121",0.31295275986493,5.18852694709254e-07
"122",0.311773191686366,5.10076845307084e-07
"123",0.311586330795054,5.08701163022012e-07
"124",0.313692431462819,5.24437541431472e-07
"125",0.312568576927862,5.15976923416571e-07
"126",0.312018930783975,5.11892016217826e-07
"127",0.311559708774052,5.08505491153732e-07
"128",0.311595120201491,5.08765782738216e-07
"129",0.311733588909125,5.09784957111431e-07
"130",0.311914973453305,5.11123290708441e-07
"131",0.314540409548269,5.30918878353387e-07
"132",0.313246890879685,5.21065904001416e-07
"133",0.31252582799927,5.15657978860124e-07
"134",0.311608348073609,5.0886305050328e-07
"135",0.319967971965734,5.74473201388476e-07
"136",0.312317931303456,5.14109872172729e-07
"137",0.311758566120423,5.09969028392282e-07
"138",0.312214086852048,5.13338443542401e-07
"139",0.311959109959924,5.11449513620284e-07
"140",0.31462078139822,5.31537586167087e-07
"141",0.312688992921771,5.16876460380224e-07
"142",0.311620339562925,5.08951243928014e-07
"143",0.3119024549425,5.11030803833627e-07
"144",0.311595437440464,5.08768115242297e-07
"145",0.312491902515849,5.15405014118561e-07
"146",0.311639336069567,5.09090990192137e-07
"147",0.311668103822055,5.09302695500496e-07
"148",0.314299049570357,5.290654707902e-07
"149",0.312537816158282,5.1574739990466e-07
"150",0.315731510000007,5.40166990862538e-07
"151",0.311831457287808,5.10506608954712e-07
"152",0.311536571562797,5.08335497625173e-07
"153",0.311770992731891,5.10060633481627e-07
"154",0.314407974812351,5.29901056580855e-07
"155",0.312017871193841,5.11884174748899e-07
"156",0.311992364267765,5.11695449943802e-07
"157",0.311466376041051,5.07820127234765e-07
"158",0.31175674930927,5.09955636894741e-07
"159",0.313110125224047,5.2003555552574e-07
"160",0.31141924780895,5.07474426865458e-07
"161",0.311556907310182,5.0848490504615e-07
"162",0.3118473508729,5.10623905912578e-07
"163",0.311781129435388,5.10135371040715e-07
"164",0.325771473085154,6.25277543263468e-07
"165",0.314473621669939,5.30405323305308e-07
"166",0.313276655258328,5.21290426675159e-07
"167",0.311827089049404,5.10474375741558e-07
"168",0.312906332221,5.18504260874791e-07
"169",0.31231145059745,5.14061692954941e-07
"170",0.312527298132653,5.15668943865875e-07
"171",0.312335386047969,5.14239659062421e-07
"172",0.316637184708536,5.47313526229159e-07
"173",0.312022259326,5.11916649836198e-07
"174",0.311801042043563,5.10282219900401e-07
"175",0.311664326307401,5.09274890984386e-07
"176",0.31145479206304,5.0773513192314e-07
"177",0.317865391583773,5.57166120348347e-07
"178",0.312088415872488,5.12406517653773e-07
"179",0.311609992301293,5.08875142291131e-07
"180",0.312669850142321,5.16733347753834e-07
"181",0.312007232476906,5.1180545028117e-07
"182",0.311792449420926,5.10218846656392e-07
"183",0.312034470535969,5.12007032414369e-07
"184",0.31171184880722,5.09624799423243e-07
"185",0.31178194285018,5.10141368823983e-07
"186",0.311418089138305,5.07465930804345e-07
"187",0.313362428083756,5.21938015239098e-07
"188",0.313572919743248,5.23530863870913e-07
"189",0.311876445638854,5.10838703730658e-07
"190",0.31177904474354,5.10119999730044e-07
"191",0.312048597925569,5.12111618967662e-07
"192",0.311508730527399,5.0813102427851e-07
"193",0.311635650741407,5.09063876184934e-07
"194",0.312335966108538,5.14243972771746e-07
"195",0.313854381324089,5.25668841218113e-07
"196",0.312343296262196,5.14298487897493e-07
"197",0.312385348328716,5.14611352295224e-07
"198",0.311727183267555,5.09737761674613e-07
"199",0.312301780547004,5.13989812262944e-07
"200",0.313417548096669,5.22354625088874e-07
"201",0.323115139073043,6.01455000826622e-07
"202",0.311660428542505,5.09246203054097e-07
"203",0.311783974100914,5.10156346751641e-07
"204",0.311740126376411,5.09833128602442e-07
"205",0.311594627669392,5.08762161411434e-07
"206",0.311519080762495,5.08207029457958e-07
"207",0.311740377939859,5.09834982350673e-07
"208",0.312128620087498,5.12704460278137e-07
"209",0.314930834140608,5.33931584337682e-07
"210",0.312995876903239,5.19176505781038e-07
"211",0.311529603607426,5.08284314557889e-07
"212",0.313527568777582,5.23187244330852e-07
